championship_name,event__name,round_name,rank,bib,nme,noc,total
2024 World Cup Final,10M Air Pistol Men,Final,1,1020,XIE Yu,CHN,244.6
2024 World Cup Final,10M Air Pistol Men,Final,2,1052,WALTER Robin,GER,243.3
2024 World Cup Final,10M Air Pistol Men,Final,3,1084,MALDINI Federico Nilo,ITA,221.7
2024 World Cup Final,10M Air Pistol Men,Final,4,1086,MONNA Paolo,ITA,196.6
2024 World Cup Final,10M Air Pistol Men,Final,5,1005,DONKOV Samuil,BUL,176.5
2024 World Cup Final,10M Air Pistol Men,Final,6,1099,LEE Wonho,KOR,157.4
2024 World Cup Final,10M Air Pistol Men,Final,7,1125,SELIMZADE Bugra,TUR,137.1
2024 World Cup Final,10M Air Pistol Men,Final,8,1062,CHEEMA Arjun Singh,IND,109.9
2024 World Cup Final,10M Air Pistol Men,Qualification,1,1020,XIE Yu,CHN,588-25x
2024 World Cup Final,10M Air Pistol Men,Qualification,2,1125,SELIMZADE Bugra,TUR,581-24x
2024 World Cup Final,10M Air Pistol Men,Qualification,3,1099,LEE Wonho,KOR,581-23x
2024 World Cup Final,10M Air Pistol Men,Qualification,4,1086,MONNA Paolo,ITA,581-23x
2024 World Cup Final,10M Air Pistol Men,Qualification,5,1062,CHEEMA Arjun Singh,IND,580-18x
2024 World Cup Final,10M Air Pistol Men,Qualification,6,1084,MALDINI Federico Nilo,ITA,579-27x
2024 World Cup Final,10M Air Pistol Men,Qualification,7,1052,WALTER Robin,GER,579-19x
2024 World Cup Final,10M Air Pistol Men,Qualification,8,1005,DONKOV Samuil,BUL,578-18x
2024 World Cup Final,10M Air Pistol Men,Qualification,9,1119,TUZINSKY Juraj,SVK,577-23x
2024 World Cup Final,10M Air Pistol Men,Qualification,10,1080,TOMAR Varun,IND,575-17x
2024 World Cup Final,10M Air Pistol Men,Qualification,11,1123,DIKEC Yusuf,TUR,572-21x
2024 World Cup Final,10M Air Pistol Men,Qualification,12,1102,STRAUTMANIS Lauris,LAT,567-16x
2024 World Cup Final,25M Rapid Fire Pistol Men,Final,1,1013,LI Yuehong,CHN,34
2024 World Cup Final,25M Rapid Fire Pistol Men,Final,2,1049,PETER Florian,GER,30
2024 World Cup Final,25M Rapid Fire Pistol Men,Final,3,1018,WANG Xinjie,CHN,23
2024 World Cup Final,25M Rapid Fire Pistol Men,Final,4,1046,GEIS Oliver,GER,20
2024 World Cup Final,25M Rapid Fire Pistol Men,Final,5,1050,REITZ Christian,GER,17
2024 World Cup Final,25M Rapid Fire Pistol Men,Final,6,1090,SPINELLA Massimo,ITA,9
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,1,1013,LI Yuehong,CHN,588-23x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,2,1049,PETER Florian,GER,587-26x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,3,1018,WANG Xinjie,CHN,586-24x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,4,1050,REITZ Christian,GER,584-21x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,5,1046,GEIS Oliver,GER,583-23x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,6,1090,SPINELLA Massimo,ITA,582-15x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,7,1077,SIDHU Vijayveer,IND,581-24x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,8,1093,CHIRYUKIN Nikita,KAZ,581-18x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,9,1058,ANISH Anish,IND,580-21x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,10,1025,RAMPULA Matej,CZE,578-22x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,11,1017,WANG Shiwen,CHN,578-17x
2024 World Cup Final,25M Rapid Fire Pistol Men,Qualification,12,1100,SONG Jong-Ho,KOR,576-25x
2024 World Cup Final,10M Air Rifle Men,Final,1,1016,SHENG Lihao,CHN,251.4
2024 World Cup Final,10M Air Rifle Men,Final,2,1057,PENI Istvan,HUN,251.3
2024 World Cup Final,10M Air Rifle Men,Final,3,1024,PRIVRATSKY Jiri,CZE,229.8
2024 World Cup Final,10M Air Rifle Men,Final,4,1003,STREMPFL Martin,AUT,208.7
2024 World Cup Final,10M Air Rifle Men,Final,5,1059,BABUTA Arjun,IND,188.3
2024 World Cup Final,10M Air Rifle Men,Final,6,1089,SOLLAZZO Danilo Dennis,ITA,165.9
2024 World Cup Final,10M Air Rifle Men,Final,7,1007,DU Linshu,CHN,144.4
