championship_name,event__name,round_name,rank,bib,nme,noc,total
2022 Shotgun World Championship,Trap Women Junior,Qualification,14,1467,TRIPATHI Bhavya,IND,103
2022 Shotgun World Championship,Trap Women Junior,Qualification,15,1988,KRIEGER Sydney Marie,USA,102
2022 Shotgun World Championship,Trap Women Junior,Qualification,16,1027,BRETAG Molly Ruth,AUS,102
2022 Shotgun World Championship,Trap Women Junior,Qualification,17,1508,LENTICCHIA Giorgia,ITA,101
2022 Shotgun World Championship,Trap Women Junior,Qualification,18,1035,PISTONE Georgia Renee,AUS,100
2022 Shotgun World Championship,Trap Women Junior,Qualification,19,1452,HARIS Sabeera Haris,IND,100
2022 Shotgun World Championship,Trap Women Junior,Qualification,20,1402,KOUNADINI Angeliki,GRE,100
2022 Shotgun World Championship,Trap Women Junior,Qualification,21,1214,KUCEROVA Lea,CZE,99
2022 Shotgun World Championship,Trap Women Junior,Qualification,22,1461,RAJAK Preeti,IND,98
2022 Shotgun World Championship,Trap Women Junior,Qualification,23,1998,STERMER Chantry,USA,98
2022 Shotgun World Championship,Trap Women Junior,Qualification,24,1161,ZHAO Chenyang,CHN,97
2022 Shotgun World Championship,Trap Women Junior,Qualification,25,1553,PRILEPINA Anastassiya,KAZ,96
2022 Shotgun World Championship,Trap Women Junior,Qualification,26,1352,LUMSDEN Hollie Annie,GBR,95
2022 Shotgun World Championship,Trap Women Junior,Qualification,27,1268,PONTES VILLARRUBIA Noelia,ESP,94
2022 Shotgun World Championship,Trap Women Junior,Qualification,28,1885,KORTISOVA Emma,SVK,94
2022 Shotgun World Championship,Trap Women Junior,Qualification,29,1726,FOSS Natalie,NZL,93
2022 Shotgun World Championship,Trap Women Junior,Qualification,30,1844,TOPOLOVEC Tea,SLO,90
2022 Shotgun World Championship,Trap Women Junior,Qualification,31,1434,NYITRAI Anna,HUN,87
2022 Shotgun World Championship,Trap Women,Qualification,32,1466,TRIPATHI Aadya,IND,76
2022 Shotgun World Championship,Trap Mixed Team Junior,Gold Medal Match,1,,BARLETTA Gianmarco,,7()
2022 Shotgun World Championship,Trap Mixed Team Junior,Gold Medal Match,1,,PATERA Marika,,7()
2022 Shotgun World Championship,Trap Mixed Team Junior,Gold Medal Match,2,,IEZZI Emanuele,,4()
2022 Shotgun World Championship,Trap Mixed Team Junior,Gold Medal Match,2,,LITTAME Sofia,,4()
2022 Shotgun World Championship,Trap Mixed Team Junior,Gold Medal Match,2,,story EEE,,4()
2022 Shotgun World Championship,Trap Women,Qualification,1,1888,REHAK STEFECEKOVA Zuzana,SVK,122
2022 Shotgun World Championship,Trap Women,Qualification,2,1153,WANG Xiaojing,CHN,119+2
2022 Shotgun World Championship,Trap Women,Qualification,3,1313,CORMENIER Carole,FRA,119+1
2022 Shotgun World Championship,Trap Women,Qualification,4,1038,SKINNER Catherine,AUS,118+3
2022 Shotgun World Championship,Trap Women,Qualification,5,1782,COELHO DE BARROS Maria Ines,POR,118+2
2022 Shotgun World Championship,Trap Women,Qualification,6,1259,GALVEZ Fatima,ESP,117+1
2022 Shotgun World Championship,Trap Women,Qualification,7,1036,SCANLAN Laetisha,AUS,117+0
2022 Shotgun World Championship,Trap Women,Qualification,8,1541,DMITRIYENKO Mariya,KAZ,116+5
2022 Shotgun World Championship,Trap Women,Qualification,9,1385,MURCHE Kathrin,GER,116+4
2022 Shotgun World Championship,Trap Women,Qualification,10,1623,BASSIL Ray,LBN,116+1
2022 Shotgun World Championship,Trap Women,Qualification,12,1925,LIU Wan-Yu,TPE,115
